urun;Sutun_3;Sutun_4;Sutun_5;Sutun_6
TOMATO SAUCE;TOMATO SAUCE;;;
;domates sosu;3,456.8;;0.810796782
;pul biber;17.3;;0.004053984
;karabiber;3.5;;0.000810797
;şeker;17.3;;0.004053984
;tuz;34.6;;0.008107968
;sarımsak püresi;69.1;;0.016215936
;d. paprika;345.7;;0.081079678
;yağ;319.3;;0.074880871
;;4263.4;;
;;;;
;jasmin pirinç;48,604;;
akordionKapa;;;;
