urun;Sutun_3;Sutun_4;Sutun_5;Sutun_6
TOMATO SAUCE;TOMATO SAUCE;;;
;domates sosu;2238;;0,810796782
;pul biber;1,1;;0,004053984
;karabiber;0,2;;0,000810797
;şeker;1,1;;0,004053984
;tuz;2,2;;0,008107968
;sarımsak püresi;4,5;;0,016215936
;d. paprika;22,4;;0,081079678
;yağ;20,7;;0,074880871
;;276,0;;
;;;;
;jasmin pirinç;1.882;;
akordionKapa;;;;
