urun;Sutun_3;Sutun_4;Sutun_5;Sutun_6
TOMATO SAUCE;TOMATO SAUCE;;;
;domates sosu;6823.0;;0.810796782
;pul biber;34.1;;0.004053984
;karabiber;6.8;;0.000810797
;şeker;34.1;;0.004053984
;tuz;68.2;;0.008107968
;sarımsak püresi;136.5;;0.016215936
;d. paprika;682.3;;0.081079678
;yağ;630.1;;0.074880871
;;8,415.2;;
;;;;
;jasmin pirinç;25,828;;
akordionKapa;;;;
