urun;Sutun_3;Sutun_4;Sutun_5;Sutun_6
TOMATO SAUCE;TOMATO SAUCE;;;
;domates sosu;691.4;;0.810796782
;pul biber;3.5;;0.004053984
;karabiber;0.7;;0.000810797
;şeker;3.5;;0.004053984
;tuz;6.9;;0.008107968
;sarımsak püresi;13.8;;0.016215936
;d. paprika;69.1;;0.081079678
;yağ;63.9;;0.074880871
;;852.7;;
;;;;
;jasmin pirinç;6,021;;
akordionKapa;;;;
